subtaskID,datapointID,answer
1,126,Rejected
1,45,Accepted
1,133,Accepted
1,138,Accepted
1,111,Rejected
1,29,Rejected
1,95,Accepted
1,97,Accepted
1,94,Accepted
1,19,Accepted
1,56,Accepted
1,15,Accepted
1,69,Rejected
1,24,Rejected
1,30,Rejected
1,125,Rejected
1,108,Accepted
1,155,Accepted
1,65,Accepted
1,119,Rejected
1,18,Rejected
1,9,Accepted
1,31,Accepted
1,81,Rejected
1,128,Rejected
1,145,Rejected
1,98,Rejected
1,150,Accepted
1,75,Rejected
1,136,Rejected
1,55,Rejected
1,124,Rejected
1,84,Rejected
1,105,Accepted
1,42,Rejected
1,127,Rejected
1,26,Rejected
1,135,Accepted
1,78,Rejected
1,148,Rejected
