subtaskID,datapointID,answer
1,126,Accepted
1,45,Rejected
1,133,Accepted
1,138,Rejected
1,111,Rejected
1,29,Rejected
1,95,Accepted
1,97,Accepted
1,94,Accepted
1,19,Accepted
1,56,Rejected
1,15,Accepted
1,69,Accepted
1,24,Rejected
1,30,Rejected
1,125,Rejected
1,108,Rejected
1,155,Rejected
1,65,Rejected
1,119,Rejected
1,18,Accepted
1,9,Rejected
1,31,Accepted
1,81,Rejected
1,128,Accepted
1,145,Rejected
1,98,Accepted
1,150,Accepted
1,75,Accepted
1,136,Accepted
1,55,Accepted
1,124,Rejected
1,84,Rejected
1,105,Rejected
1,42,Accepted
1,127,Rejected
1,26,Rejected
1,135,Rejected
1,78,Accepted
1,148,Rejected
