ID,text,date,label_name
1485,Ok but no one really understands how BAD I wanna meet {@Sam and Colby@} next weekend buttttt I didn’t get the meetup,2020-02-23,daily_life
2638,Some of the #ZackSnydersJusticeLeague fan posters are absolutely stunning.. really hope the winning posters gets to be the official poster for the #ReleaseTheSnyderCut {@Zack Snyder@},2020-02-02,pop_culture
491,I get to see {@David Spade@} in august!!!! Literally a dream I NEVER thought would happen!!! ❤️,2021-07-25,pop_culture
1835,Remember {@Lamar Jackson@} can t run in the NFL like he did at Louisville......,2019-11-10,sports_&_gaming
1173,Missed the homies so I threw on That s The Pod and drove around till I listened to all of em. And {{USERNAME}} {{USERNAME}} and {{USERNAME}} are 3 of the stupidest people to ever exist. Not one time did they have a clue what they were talking about. Felt just like home.,2021-08-15,pop_culture
1829,Harry Styles - Watermelon Sugar (Official Audio) {{URL}} via {@YouTube@}  x #HarryStyles is Yesssss!!!,2019-11-20,pop_culture
349,"“In 1919, Sylvia Beach sent a telegram to her mother in America: ‘Opening bookshop in Paris. Please send money.’“ That bookstore became the famed {{USERNAME}} . (Read “The Patron Saint of Bookstores” {{URL}} ",2019-10-06,arts_&_culture
1002,IM SO HAPPY I BOUGHT {@AJR@} TICKETS MY FAVORITE BAND AND I FINALLY GET TO SEE THEM NEXT YEAR ;---; bless you spotify presale,2021-04-14,pop_culture
1893,The Rolling Stones perform classic from FOUR separate locations {{URL}} via {@Daily Mail Celebrity@},2020-04-19,pop_culture
2486,I wish someone on the {@Cleveland Browns@} could just answer a simple question. Why the hell did we pass so many times when clearly we win when we run effectively {@Baker Mayfield@} {@Jarvis Juice Landry@} anyone?,2020-12-27,sports_&_gaming
1083,Scranton’s Matt McGloin with a TD run and a TD pass in his first three possessions in the XFL.  NY Guardians lead TB 14-0. {@WNEP Sports@},2020-02-09,sports_&_gaming
1880,FRESH FIND !! >> Discover New Music and Hot Talents!! Give a listen to Jabber Jaws by MoCity Jones {@YouTube@} #hiphop  #rap   #new_music {{USERNAME}} #GrooverEffect  Follow MoCity Jones: {{URL}} LISTEN HERE {{URL}},2021-08-22,pop_culture
2792,I will never understand why Newcastle went for Bruce over Benitez #TOTNEW #coyg #afc {@Arsenal@},2020-09-27,sports_&_gaming
