subtaskID,datapointID,answer
1,2601,96.5909
2,2601,Acid
3,2601,2
4,2601,-99999
5,2601,Favorable
1,2602,109.2507
2,2602,Acid
3,2602,2
4,2602,-99999
5,2602,Favorable
1,2603,105.0137
2,2603,Acid
3,2603,2
4,2603,-99999
5,2603,Favorable
1,2604,87.9858
2,2604,Acid
3,2604,2
4,2604,-99999
5,2604,Favorable
1,2605,78.1208
2,2605,Acid
3,2605,2
4,2605,-99999
5,2605,Favorable
1,2606,143.9242
2,2606,Acid
3,2606,2
4,2606,-99999
5,2606,Favorable
1,2607,116.6445
2,2607,Acid
3,2607,2
4,2607,-99999
5,2607,Favorable
1,2608,91.554
2,2608,Acid
3,2608,2
4,2608,-99999
5,2608,Favorable
1,2609,103.9459
2,2609,Acid
3,2609,2
4,2609,-99999
5,2609,Favorable
1,2610,97.0597
2,2610,Acid
3,2610,2
4,2610,-99999
5,2610,Favorable
1,2611,101.8786
2,2611,Acid
3,2611,2
4,2611,-99999
5,2611,Favorable
1,2612,91.8242
2,2612,Acid
3,2612,2
4,2612,-99999
5,2612,Favorable
1,2613,100.2255
2,2613,Acid
3,2613,2
4,2613,-99999
5,2613,Favorable
1,2614,101.9889
2,2614,Acid
3,2614,2
4,2614,-99999
5,2614,Favorable
1,2615,123.7371
2,2615,Acid
3,2615,2
4,2615,-99999
5,2615,Favorable
1,2616,101.9252
2,2616,Acid
3,2616,2
4,2616,-99999
5,2616,Favorable
1,2617,93.0183
2,2617,Acid
3,2617,2
4,2617,-99999
5,2617,Favorable
1,2618,103.5693
2,2618,Acid
3,2618,2
4,2618,-99999
5,2618,Favorable
1,2619,114.4566
2,2619,Acid
3,2619,2
4,2619,-99999
5,2619,Favorable
1,2620,117.7279
2,2620,Acid
3,2620,2
4,2620,-99999
5,2620,Favorable
1,2621,91.6344
2,2621,Acid
3,2621,2
4,2621,-99999
5,2621,Favorable
1,2622,86.9532
2,2622,Acid
3,2622,2
4,2622,-99999
5,2622,Favorable
1,2623,94.5919
2,2623,Acid
3,2623,2
4,2623,-99999
5,2623,Favorable
1,2624,119.1243
2,2624,Acid
3,2624,2
4,2624,-99999
5,2624,Favorable
1,2625,89.2841
2,2625,Acid
3,2625,2
4,2625,-99999
5,2625,Favorable
1,2626,74.8668
2,2626,Acid
3,2626,2
4,2626,-99999
5,2626,Favorable
1,2627,108.9461
2,2627,Acid
3,2627,2
4,2627,-99999
5,2627,Favorable
1,2628,99.3352
2,2628,Acid
3,2628,2
4,2628,-99999
5,2628,Favorable
1,2629,119.1329
2,2629,Acid
3,2629,2
4,2629,-99999
5,2629,Favorable
1,2630,103.2991
2,2630,Acid
3,2630,2
4,2630,-99999
5,2630,Favorable
1,2631,133.4092
2,2631,Acid
3,2631,2
4,2631,-99999
5,2631,Favorable
1,2632,124.7036
2,2632,Acid
3,2632,2
4,2632,-99999
5,2632,Favorable
1,2633,118.9158
2,2633,Acid
3,2633,2
4,2633,-99999
5,2633,Favorable
1,2634,115.3898
2,2634,Alkaline
3,2634,2
4,2634,-99999
5,2634,Favorable
1,2635,85.0006
2,2635,Acid
3,2635,2
4,2635,-99999
5,2635,Favorable
1,2636,89.9701
2,2636,Acid
3,2636,2
4,2636,-99999
5,2636,Favorable
1,2637,116.7318
2,2637,Acid
3,2637,2
4,2637,-99999
5,2637,Favorable
1,2638,85.3001
2,2638,Acid
3,2638,2
4,2638,-99999
5,2638,Favorable
1,2639,116.7205
2,2639,Acid
3,2639,2
4,2639,-99999
5,2639,Favorable
1,2640,92.8222
2,2640,Alkaline
3,2640,2
4,2640,-99999
5,2640,Favorable
1,2641,127.1295
2,2641,Acid
3,2641,2
4,2641,-99999
5,2641,Favorable
1,2642,114.5197
2,2642,Acid
3,2642,2
4,2642,-99999
5,2642,Favorable
1,2643,115.2065
2,2643,Acid
3,2643,2
4,2643,-99999
5,2643,Favorable
1,2644,97.9936
2,2644,Acid
3,2644,2
4,2644,-99999
5,2644,Favorable
1,2645,101.553
2,2645,Acid
3,2645,2
4,2645,-99999
5,2645,Favorable
1,2646,81.7534
2,2646,Acid
3,2646,2
4,2646,-99999
5,2646,Favorable
1,2647,61.9295
2,2647,Alkaline
3,2647,2
4,2647,-99999
5,2647,Favorable
1,2648,75.8755
2,2648,Acid
3,2648,2
4,2648,-99999
5,2648,Favorable
1,2649,107.3102
2,2649,Acid
3,2649,2
4,2649,-99999
5,2649,Favorable
1,2650,112.3503
2,2650,Acid
3,2650,2
4,2650,-99999
5,2650,Favorable
1,2651,122.6824
2,2651,Acid
3,2651,2
4,2651,-99999
5,2651,Favorable
1,2652,113.7742
2,2652,Acid
3,2652,2
4,2652,-99999
5,2652,Favorable
1,2653,104.5367
2,2653,Acid
3,2653,2
4,2653,-99999
5,2653,Favorable
1,2654,115.7438
2,2654,Acid
3,2654,2
4,2654,-99999
5,2654,Favorable
1,2655,90.9834
2,2655,Acid
3,2655,2
4,2655,-99999
5,2655,Favorable
1,2656,70.401
2,2656,Acid
3,2656,2
4,2656,-99999
5,2656,Favorable
1,2657,84.4326
2,2657,Acid
3,2657,2
4,2657,-99999
5,2657,Favorable
1,2658,118.6742
2,2658,Acid
3,2658,2
4,2658,-99999
5,2658,Favorable
1,2659,119.0531
2,2659,Acid
3,2659,2
4,2659,-99999
5,2659,Favorable
1,2660,81.8731
2,2660,Alkaline
3,2660,2
4,2660,-99999
5,2660,Favorable
1,2661,96.2172
2,2661,Acid
3,2661,2
4,2661,-99999
5,2661,Favorable
1,2662,77.5242
2,2662,Acid
3,2662,2
4,2662,-99999
5,2662,Favorable
1,2663,97.2408
2,2663,Acid
3,2663,2
4,2663,-99999
5,2663,Favorable
1,2664,104.0667
2,2664,Alkaline
3,2664,2
4,2664,-99999
5,2664,Favorable
1,2665,117.4466
2,2665,Acid
3,2665,2
4,2665,-99999
5,2665,Favorable
1,2666,122.6488
2,2666,Acid
3,2666,2
4,2666,-99999
5,2666,Favorable
1,2667,103.3475
2,2667,Acid
3,2667,2
4,2667,-99999
5,2667,Favorable
1,2668,104.4762
2,2668,Acid
3,2668,2
4,2668,-99999
5,2668,Favorable
1,2669,128.4682
2,2669,Acid
3,2669,2
4,2669,-99999
5,2669,Favorable
1,2670,104.8796
2,2670,Acid
3,2670,2
4,2670,-99999
5,2670,Favorable
1,2671,121.5148
2,2671,Acid
3,2671,2
4,2671,-99999
5,2671,Favorable
1,2672,104.2619
2,2672,Acid
3,2672,2
4,2672,-99999
5,2672,Favorable
1,2673,106.0517
2,2673,Acid
3,2673,2
4,2673,-99999
5,2673,Favorable
1,2674,91.2866
2,2674,Acid
3,2674,2
4,2674,-99999
5,2674,Favorable
1,2675,92.9865
2,2675,Acid
3,2675,2
4,2675,-99999
5,2675,Favorable
1,2676,100.1996
2,2676,Acid
3,2676,2
4,2676,-99999
5,2676,Favorable
1,2677,84.4107
2,2677,Acid
3,2677,2
4,2677,-99999
5,2677,Favorable
1,2678,93.491
2,2678,Acid
3,2678,2
4,2678,-99999
5,2678,Favorable
1,2679,55.8114
2,2679,Alkaline
3,2679,2
4,2679,-99999
5,2679,Favorable
1,2680,112.0955
2,2680,Acid
3,2680,2
4,2680,-99999
5,2680,Favorable
1,2681,81.3983
2,2681,Acid
3,2681,2
4,2681,-99999
5,2681,Favorable
1,2682,139.5159
2,2682,Neutral
3,2682,2
4,2682,-99999
5,2682,Favorable
1,2683,119.3751
2,2683,Neutral
3,2683,2
4,2683,-99999
5,2683,Favorable
1,2684,96.5619
2,2684,Acid
3,2684,2
4,2684,-99999
5,2684,Favorable
1,2685,66.1913
2,2685,Acid
3,2685,2
4,2685,-99999
5,2685,Favorable
1,2686,113.1976
2,2686,Acid
3,2686,2
4,2686,-99999
5,2686,Favorable
1,2687,98.4653
2,2687,Acid
3,2687,2
4,2687,-99999
5,2687,Favorable
1,2688,91.6985
2,2688,Acid
3,2688,2
4,2688,-99999
5,2688,Favorable
1,2689,64.3366
2,2689,Acid
3,2689,2
4,2689,-99999
5,2689,Favorable
1,2690,101.8881
2,2690,Acid
3,2690,2
4,2690,-99999
5,2690,Favorable
1,2691,110.2045
2,2691,Acid
3,2691,2
4,2691,-99999
5,2691,Favorable
1,2692,121.3155
2,2692,Neutral
3,2692,2
4,2692,-99999
5,2692,Favorable
1,2693,103.383
2,2693,Acid
3,2693,2
4,2693,-99999
5,2693,Favorable
1,2694,105.3075
2,2694,Acid
3,2694,2
4,2694,-99999
5,2694,Favorable
1,2695,80.6126
2,2695,Acid
3,2695,2
4,2695,-99999
5,2695,Favorable
1,2696,115.3516
2,2696,Acid
3,2696,2
4,2696,-99999
5,2696,Favorable
1,2697,129.3514
2,2697,Acid
3,2697,2
4,2697,-99999
5,2697,Favorable
1,2698,93.1865
2,2698,Acid
3,2698,2
4,2698,-99999
5,2698,Favorable
1,2699,94.1865
2,2699,Acid
3,2699,2
4,2699,-99999
5,2699,Favorable
1,2700,81.9967
2,2700,Acid
3,2700,2
4,2700,-99999
5,2700,Favorable
1,2701,106.8491
2,2701,Neutral
3,2701,2
4,2701,-99999
5,2701,Favorable
1,2702,82.5765
2,2702,Acid
3,2702,2
4,2702,-99999
5,2702,Favorable
1,2703,119.1033
2,2703,Acid
3,2703,2
4,2703,-99999
5,2703,Favorable
1,2704,102.1176
2,2704,Acid
3,2704,2
4,2704,-99999
5,2704,Favorable
1,2705,83.9993
2,2705,Acid
3,2705,2
4,2705,-99999
5,2705,Favorable
1,2706,117.2653
2,2706,Acid
3,2706,2
4,2706,-99999
5,2706,Favorable
1,2707,100.7945
2,2707,Acid
3,2707,2
4,2707,-99999
5,2707,Favorable
1,2708,114.3844
2,2708,Alkaline
3,2708,2
4,2708,-99999
5,2708,Favorable
1,2709,75.7934
2,2709,Acid
3,2709,2
4,2709,-99999
5,2709,Favorable
1,2710,104.4572
2,2710,Acid
3,2710,2
4,2710,-99999
5,2710,Favorable
1,2711,102.6529
2,2711,Acid
3,2711,2
4,2711,-99999
5,2711,Favorable
1,2712,104.4206
2,2712,Acid
3,2712,2
4,2712,-99999
5,2712,Favorable
1,2713,101.8909
2,2713,Acid
3,2713,2
4,2713,-99999
5,2713,Favorable
1,2714,100.12
2,2714,Acid
3,2714,2
4,2714,-99999
5,2714,Favorable
1,2715,115.5922
2,2715,Acid
3,2715,2
4,2715,-99999
5,2715,Favorable
1,2716,93.9971
2,2716,Alkaline
3,2716,2
4,2716,-99999
5,2716,Favorable
1,2717,117.1034
2,2717,Acid
3,2717,2
4,2717,-99999
5,2717,Favorable
1,2718,95.3057
2,2718,Acid
3,2718,2
4,2718,-99999
5,2718,Favorable
1,2719,109.2496
2,2719,Acid
3,2719,2
4,2719,-99999
5,2719,Favorable
1,2720,133.2191
2,2720,Acid
3,2720,2
4,2720,-99999
5,2720,Favorable
1,2721,133.4098
2,2721,Neutral
3,2721,2
4,2721,-99999
5,2721,Favorable
1,2722,92.1828
2,2722,Alkaline
3,2722,2
4,2722,-99999
5,2722,Favorable
1,2723,80.5081
2,2723,Alkaline
3,2723,2
4,2723,-99999
5,2723,Favorable
1,2724,82.7689
2,2724,Alkaline
3,2724,2
