ID,Soil_Type,Region,Irrigation,pH,Moisture,Nitrogen,Phosphorus,Potassium,Organic_Matter,Electrical_Conductivity,Bulk_Density,Clay_Percent,Temperature,Rainfall_7d,Sunlight_hours,Slope,Suitability
1,Sandy,Hill,Sprinkler,6.501,25.144,45.528,33.742,122.187,,0.472,1.697,6.19,19.98,23.595,6.439,6.823,Unfavorable
2,Clay,Plain,Sprinkler,6.322,22.391,119.376,62.453,218.362,2.464,1.786,1.35,41.372,25.102,5.063,10.392,1.038,Favorable
3,Sandy,Hill,Sprinkler,6.847,23.489,74.258,36.014,120.864,2.596,1.27,1.627,1.0,17.128,18.41,8.126,7.177,Favorable
4,Loam,Plain,Sprinkler,6.697,30.294,90.57,66.035,198.206,2.899,0.596,1.302,32.664,22.799,24.588,7.034,0.0,Favorable
5,Clay,Hill,None,6.74,24.471,81.934,58.793,142.101,4.334,1.289,1.402,53.71,15.147,7.216,4.151,14.352,Favorable
6,Clay,Plain,Sprinkler,7.012,,124.567,57.423,144.106,3.124,0.816,1.524,55.595,4.685,10.334,8.43,6.061,Unfavorable
7,Silt,Plain,Sprinkler,6.495,26.753,84.547,56.744,150.854,2.577,1.117,1.194,23.8,14.062,29.509,7.742,1.661,Favorable
8,Loam,Hill,Sprinkler,6.711,22.878,75.831,58.832,139.385,2.4,0.645,1.428,29.766,17.072,15.115,9.568,2.3,Favorable
9,Silt,Hill,Sprinkler,6.452,30.982,119.971,52.907,133.431,3.528,0.792,1.253,11.128,17.072,13.574,6.312,19.012,Favorable
10,Loam,Plain,None,6.397,16.793,142.77,43.391,171.637,2.843,0.872,1.346,27.987,12.054,14.765,6.48,4.851,Favorable
11,Silt,Plain,None,7.067,28.034,111.65,54.927,124.976,2.583,0.849,1.04,28.397,11.924,18.258,9.783,5.658,Favorable
12,Silt,Plain,Drip,6.124,25.974,128.644,38.888,153.386,2.599,1.299,1.194,13.392,21.251,22.383,7.005,10.758,Favorable
13,Clay,Hill,Sprinkler,6.218,25.696,98.343,24.01,155.835,2.35,0.962,1.377,48.028,15.349,55.173,8.383,11.677,Favorable
14,Loam,Hill,Sprinkler,6.829,30.912,137.016,48.401,201.232,2.121,1.373,1.38,19.463,23.225,34.346,7.67,13.803,Favorable
15,Clay,Mountain,Sprinkler,7.113,20.557,111.54,38.816,130.433,1.934,0.712,1.337,50.907,15.138,33.038,7.482,13.325,Favorable
16,Clay,Plain,Sprinkler,6.636,29.201,113.96,33.779,266.475,2.022,1.675,1.262,54.664,12.016,21.055,6.49,0.0,Favorable
17,Clay,Hill,Sprinkler,7.102,19.595,107.944,56.256,145.523,2.847,1.099,1.381,40.502,20.981,5.827,5.44,13.85,Favorable
18,Silt,Plain,None,6.638,18.198,88.136,55.494,170.19,2.293,1.259,1.152,12.141,16.801,12.105,10.113,8.449,Favorable
19,Loam,Plain,Sprinkler,6.628,22.086,115.744,61.521,163.072,1.854,1.476,1.554,19.683,22.925,10.285,8.21,8.014,Favorable
20,Silt,Mountain,Sprinkler,7.153,16.99,126.227,30.555,150.68,0.445,1.348,1.207,21.286,22.182,22.614,9.042,16.379,Unfavorable
21,Clay,Hill,Sprinkler,6.709,17.967,85.764,53.894,155.554,0.999,1.35,1.265,66.651,16.928,5.869,7.979,11.182,Unfavorable
22,Loam,Hill,None,6.406,14.554,136.802,64.499,176.889,1.768,1.219,1.553,24.704,18.156,23.468,5.485,8.636,Favorable
23,Sandy,Hill,None,6.336,,104.142,42.637,92.998,1.776,0.55,1.471,10.781,12.022,46.252,7.15,5.861,Favorable
24,Clay,Hill,Sprinkler,6.833,22.822,135.221,50.542,160.169,2.601,1.077,1.449,43.547,20.204,30.999,6.506,13.076,Favorable
25,Silt,Hill,Drip,6.722,27.828,129.24,41.208,89.42,2.815,0.45,1.357,15.186,19.93,24.882,9.217,13.83,Favorable
26,Clay,Mountain,Sprinkler,6.656,25.312,108.869,47.362,145.772,2.387,1.628,1.645,49.116,14.545,22.531,5.378,14.984,Favorable
27,Loam,Hill,Drip,6.557,22.076,106.435,58.84,129.888,3.797,1.045,1.295,21.164,13.259,42.425,7.08,16.714,Favorable
28,Clay,Hill,Sprinkler,7.132,18.419,119.8,46.615,185.258,1.931,1.029,1.446,50.447,16.361,3.519,6.483,9.071,Unfavorable
29,Silt,Hill,None,7.091,,77.631,47.293,158.164,1.577,1.083,1.35,26.281,10.525,20.454,7.856,9.938,Favorable
30,Sandy,Hill,None,6.031,18.453,91.233,15.433,120.356,2.727,1.126,1.669,4.387,19.832,14.593,8.79,6.767,Unfavorable
31,Sandy,Plain,Sprinkler,7.041,21.729,91.237,30.259,113.404,2.632,0.592,1.763,4.265,17.238,7.488,6.679,0.0,Favorable
32,Silt,Plain,None,6.939,28.196,131.539,62.029,123.31,2.5,0.989,1.162,13.803,19.197,25.994,5.977,4.815,Favorable
33,Clay,Hill,Sprinkler,6.928,,132.171,54.139,195.839,,1.538,1.299,46.196,13.792,8.514,7.415,10.078,Favorable
34,Silt,Hill,Sprinkler,7.106,21.739,84.639,39.527,87.461,2.994,1.079,1.375,16.93,10.879,36.188,6.567,2.991,Favorable
35,Sandy,Plain,Sprinkler,7.008,27.87,114.664,54.477,119.234,3.799,0.593,1.58,9.951,17.541,14.907,8.082,4.84,Favorable
36,Clay,Plain,None,7.575,25.69,109.76,65.494,173.509,3.007,1.385,1.497,47.89,18.845,29.438,6.453,2.221,Favorable
37,Clay,Mountain,Sprinkler,8.037,22.876,103.915,61.166,153.701,3.399,1.798,1.38,56.251,17.45,12.614,6.282,6.255,Unfavorable
38,Loam,Plain,Drip,7.97,27.384,70.156,59.409,138.35,1.929,1.054,1.378,26.83,17.297,9.315,6.095,10.749,Unfavorable
39,Loam,Plain,None,6.713,18.13,136.115,65.557,165.859,1.645,0.968,1.397,28.02,15.907,42.236,7.702,2.891,Favorable
40,Loam,Plain,Sprinkler,7.596,27.952,108.849,57.59,171.498,2.791,0.573,1.62,13.867,17.348,9.185,9.445,10.45,Unfavorable
41,Sandy,Plain,None,7.232,12.89,48.238,44.299,99.773,1.426,1.134,1.581,8.827,13.52,6.079,8.369,6.817,Unfavorable
42,Silt,Plain,None,6.737,19.352,134.663,37.537,139.118,4.327,0.643,1.351,23.737,19.163,13.02,7.466,10.467,Favorable
43,Sandy,Plain,None,6.014,14.467,98.808,22.642,136.101,1.894,1.159,1.522,13.263,17.517,8.709,7.443,5.892,Unfavorable
44,Loam,Mountain,None,6.6,15.248,74.391,53.324,199.603,2.527,1.332,1.279,27.284,16.411,26.289,7.671,21.761,Unfavorable
45,Loam,Plain,None,6.626,23.396,114.223,63.633,139.302,2.994,1.452,1.244,17.362,17.826,26.361,8.248,11.116,Favorable
46,Loam,Plain,None,6.991,22.12,149.086,47.211,149.766,2.981,0.434,1.425,23.099,25.332,31.258,6.558,3.008,Favorable
47,Loam,Hill,Sprinkler,6.846,26.096,113.191,48.477,171.847,2.793,1.112,1.215,16.667,11.744,74.292,9.449,14.991,Favorable
48,Sandy,Hill,Sprinkler,5.595,16.214,93.355,14.861,200.264,2.3,0.773,1.289,7.758,19.373,24.313,6.872,9.045,Unfavorable
49,Loam,Plain,None,7.212,25.296,117.365,57.776,127.538,3.04,0.647,1.16,34.815,16.102,19.485,6.859,5.243,Favorable
50,Sandy,Plain,Drip,6.814,23.858,76.588,28.442,146.712,2.742,1.154,1.36,9.646,24.885,24.345,9.56,12.315,Favorable
51,Loam,Mountain,Sprinkler,7.33,24.936,112.961,82.773,160.056,1.716,0.933,1.21,33.005,11.267,29.188,4.502,19.663,Unfavorable
52,Silt,Hill,Sprinkler,6.509,8.875,98.556,20.76,179.361,3.683,0.777,1.469,21.195,21.653,36.394,3.77,6.605,Favorable
53,Sandy,Plain,None,6.77,9.847,89.968,32.103,165.007,2.733,0.661,1.549,11.714,23.766,54.408,10.306,1.891,Favorable
54,Loam,Hill,None,6.279,19.047,110.151,45.128,224.958,1.426,0.544,1.305,17.504,12.669,13.067,7.502,8.452,Favorable
55,Loam,Mountain,Sprinkler,6.245,19.265,86.154,69.954,205.347,4.051,1.267,1.357,30.046,11.58,31.129,7.569,19.919,Unfavorable
56,Loam,Hill,Sprinkler,6.145,25.411,113.726,68.723,178.016,1.929,0.585,1.44,25.483,12.839,32.082,5.582,24.311,Unfavorable
57,Clay,Plain,Drip,7.117,33.415,114.514,59.856,175.963,2.855,1.46,1.263,56.111,9.704,19.725,9.281,1.446,Favorable
58,Loam,Plain,None,6.66,17.004,124.31,67.133,175.47,1.922,0.917,1.279,20.353,15.97,41.064,8.103,4.343,Favorable
59,Clay,Hill,None,7.079,33.869,113.745,22.995,132.085,2.391,1.205,1.454,49.009,15.825,81.297,6.475,16.765,Favorable
60,Silt,Plain,None,6.321,25.257,92.978,49.54,141.612,2.818,0.747,1.125,9.096,18.38,28.569,8.818,12.394,Favorable
61,Sandy,Mountain,Sprinkler,6.411,,83.098,20.666,108.344,1.676,0.631,1.601,12.551,14.089,35.456,7.005,16.322,Unfavorable
62,Silt,Plain,Drip,6.177,18.684,85.449,45.027,154.283,2.771,0.491,1.448,15.788,13.309,8.656,8.479,7.01,Favorable
63,Clay,Plain,None,7.566,19.149,136.461,57.268,172.315,2.91,1.956,1.363,44.847,18.486,36.636,7.907,0.766,Unfavorable
64,Silt,Plain,Sprinkler,6.653,32.343,127.434,45.32,122.992,2.104,0.877,1.499,18.719,23.067,22.152,8.323,5.072,Favorable
65,Loam,Mountain,Drip,6.707,20.703,113.667,48.464,149.28,,0.62,1.288,30.414,15.007,3.277,6.839,15.594,Favorable
66,Loam,Hill,None,7.137,20.077,154.59,47.768,158.491,2.393,1.174,1.332,26.884,25.788,7.619,6.952,0.0,Favorable
67,Loam,Plain,None,6.624,35.34,114.532,52.413,167.785,2.235,1.104,1.458,36.912,18.346,19.724,8.836,1.783,Favorable
68,Sandy,Mountain,Drip,6.811,,73.175,40.272,122.626,2.545,0.548,1.555,9.856,15.176,25.534,5.351,15.043,Favorable
69,Clay,Hill,Sprinkler,7.26,23.084,97.063,39.574,211.408,3.892,1.095,1.569,52.412,14.071,16.593,9.199,11.33,Favorable
70,Loam,Plain,None,7.181,25.061,125.837,57.183,165.694,2.541,1.064,1.485,27.427,10.348,27.859,4.224,2.586,Favorable
71,Clay,Hill,Sprinkler,6.808,28.277,84.805,32.855,171.625,2.498,1.435,1.306,50.272,22.779,17.494,10.301,9.136,Favorable
72,Clay,Hill,None,6.871,,85.567,42.327,146.427,2.416,0.935,1.564,39.912,10.224,18.25,7.734,15.799,Unfavorable
73,Silt,Plain,Sprinkler,6.973,40.302,111.66,38.303,132.614,3.04,1.344,1.102,27.398,19.907,19.257,10.981,5.039,Favorable
74,Sandy,Hill,Sprinkler,6.401,27.422,64.092,32.621,143.314,3.805,1.016,1.553,9.108,25.048,3.94,6.627,4.191,Unfavorable
75,Sandy,Plain,None,6.429,21.218,113.216,48.774,118.367,2.295,0.895,1.603,10.732,11.552,3.745,7.213,4.602,Favorable
76,Clay,Plain,Sprinkler,7.577,23.867,103.354,39.52,181.561,2.952,1.504,1.281,48.311,14.061,13.469,6.212,2.254,Unfavorable
77,Loam,Hill,None,7.332,16.213,96.977,61.654,175.595,5.061,0.895,1.414,28.947,23.465,23.69,7.102,2.839,Favorable
