MatchID,Season,MatchWeek,HomeTeam,AwayTeam,FullTimeResult,Goals,Shots,Corners,YellowCards,RedCards,TotalCards,TeamStyles,chaos_label
2000-2001_Charlton_Man City,2000-2001,1,Charlton,Man City,H,4,25.0,12.0,3.0,0.0,3.0,"RiskTaker, DirectPlay",0
2000-2001_Chelsea_West Ham,2000-2001,1,Chelsea,West Ham,H,6,29.0,14.0,3.0,0.0,3.0,"RiskTaker, HighPressure, ChaosInducer",1
2000-2001_Coventry_Middlesbrough,2000-2001,1,Coventry,Middlesbrough,A,4,22.0,12.0,8.0,1.0,10.0,"AggressiveTackler, ChaosInducer, LowTempoController",1
2000-2001_Derby_Southampton,2000-2001,1,Derby,Southampton,D,4,19.0,13.0,2.0,0.0,2.0,"Disciplined, LowTempoController",0
2000-2001_Leeds_Everton,2000-2001,1,Leeds,Everton,H,2,29.0,10.0,4.0,0.0,4.0,"HighPressure, Opportunistic",0
2000-2001_Leicester_Aston Villa,2000-2001,1,Leicester,Aston Villa,D,0,10.0,9.0,5.0,0.0,5.0,"LowTempoController, ChaosInducer",0
2000-2001_Liverpool_Bradford,2000-2001,1,Liverpool,Bradford,H,1,19.0,7.0,2.0,0.0,2.0,"Disciplined, Disciplined",0
2000-2001_Sunderland_Arsenal,2000-2001,1,Sunderland,Arsenal,H,1,22.0,11.0,4.0,1.0,6.0,"AggressiveTackler, DirectPlay",0
2000-2001_Tottenham_Ipswich,2000-2001,1,Tottenham,Ipswich,H,4,35.0,7.0,0.0,0.0,0.0,"RiskTaker, HighPressure, Disciplined",0
2000-2001_Man United_Newcastle,2000-2001,1,Man United,Newcastle,H,2,28.0,8.0,1.0,0.0,1.0,"Disciplined, Opportunistic",0
2000-2001_Arsenal_Liverpool,2000-2001,1,Arsenal,Liverpool,H,2,24.0,21.0,6.0,3.0,12.0,"AggressiveTackler, HighPressure, ChaosInducer, LowTempoController",1
2000-2001_Bradford_Chelsea,2000-2001,1,Bradford,Chelsea,H,2,26.0,10.0,1.0,0.0,1.0,"Disciplined, HighPressure",0
2000-2001_Ipswich_Man United,2000-2001,1,Ipswich,Man United,D,2,28.0,10.0,5.0,0.0,5.0,"Opportunistic, Opportunistic",0
2000-2001_Middlesbrough_Tottenham,2000-2001,1,Middlesbrough,Tottenham,D,2,23.0,10.0,3.0,0.0,3.0,"Disciplined, Disciplined",0
