iter	F1	Logloss
0	0.8639115557	0.6534368846
1	0.8672286617	0.6141721899
2	0.8588859416	0.5821696715
3	0.8687187582	0.5495654821
4	0.8632750397	0.524634237
5	0.8689691537	0.4899365824
6	0.8801879405	0.4588597644
7	0.8887163561	0.4257017764
8	0.8997193162	0.3993013346
9	0.8997965412	0.3790827524
10	0.9000254388	0.3611550524
11	0.9008097166	0.3380380984
12	0.9010877814	0.320770353
13	0.9012875536	0.305085837
14	0.9014865205	0.2902907334
15	0.9011320755	0.2751867097
16	0.9014580191	0.2613814773
17	0.901734104	0.2488317549
18	0.9020592667	0.2376670499
19	0.9020592667	0.2292963617
20	0.9019607843	0.2227932727
21	0.9019607843	0.2134981042
22	0.9015075377	0.2058744544
23	0.9015075377	0.2003361248
24	0.9017834715	0.193807402
25	0.9028858218	0.1877175828
26	0.9026593076	0.1834268408
27	0.9028858218	0.1787696161
28	0.9028858218	0.1761018768
29	0.901734104	0.1726083541
30	0.9016846869	0.1707936563
31	0.9016846869	0.166941348
32	0.9016846869	0.1620987543
33	0.9019607843	0.1595095
34	0.901734104	0.1566409907
35	0.901734104	0.1543734003
36	0.9028370575	0.152701145
37	0.9019607843	0.1507476936
38	0.9019607843	0.1487736758
39	0.9019607843	0.1467506214
40	0.9016846869	0.1448659213
41	0.9026415094	0.1433904998
42	0.9023653749	0.1423287208
43	0.9023653749	0.1413362586
44	0.9024144869	0.1403039592
45	0.9024144869	0.1392094848
46	0.9026415094	0.1378540488
47	0.9026415094	0.1353878237
48	0.9028686462	0.1344167011
49	0.9025924994	0.1336807321
50	0.9028197382	0.1327527356
51	0.9025924994	0.1304989932
52	0.9028197382	0.1299928792
53	0.9025924994	0.1289981049
54	0.9028197382	0.128587922
55	0.9025924994	0.1272843725
56	0.9028197382	0.1258537506
57	0.9028197382	0.1255607124
58	0.9028197382	0.1251336126
59	0.9030470914	0.1247421665
60	0.9030470914	0.1243801147
61	0.9030470914	0.1240391593
62	0.9035021416	0.1236368546
63	0.9035021416	0.1222580669
64	0.9035021416	0.1217238972
65	0.9037783375	0.1210686063
66	0.9052049283	0.1203167559
67	0.9051094891	0.1199334204
68	0.9058882738	0.119299094
69	0.9058882738	0.1189749863
70	0.9058882738	0.1185612706
71	0.9058408862	0.1182301423
72	0.9058408862	0.1171498827
73	0.9058408862	0.1165476391
74	0.9060690003	0.1163215552
75	0.9060690003	0.1157278051
76	0.9060690003	0.1154939172
77	0.9058408862	0.1148918271
78	0.9058408862	0.1147429865
79	0.9060690003	0.1144158952
80	0.9060690003	0.1140934157
81	0.9062972292	0.1138686233
82	0.9062972292	0.1136343223
83	0.9062972292	0.1135736582
84	0.9062972292	0.1132893673
85	0.9062972292	0.1130606943
86	0.9062972292	0.11290986
87	0.9062972292	0.1126778759
88	0.9062972292	0.1123776165
89	0.9062972292	0.112304237
90	0.9062972292	0.1118846721
91	0.9062972292	0.1116375658
92	0.9068010076	0.1112149172
93	0.9068010076	0.1110540488
94	0.9070294785	0.1108764843
95	0.9068479355	0.1107199999
96	0.9073514602	0.1104970536
97	0.9076264787	0.1100206148
98	0.9076264787	0.1098759621
99	0.9076264787	0.1098290002
100	0.9078549849	0.1095924296
101	0.9078549849	0.1092736349
102	0.9080836061	0.1090361482
103	0.9083585096	0.1087396801
104	0.9083585096	0.1080929928
105	0.9080836061	0.1075886818
106	0.9085872576	0.1073794236
107	0.9085872576	0.1072480419
108	0.9088161209	0.1066052435
109	0.9083585096	0.106489051
110	0.9085872576	0.1064345011
111	0.9088620342	0.10619081
112	0.9085872576	0.1060644821
113	0.9088620342	0.1059099956
114	0.9088620342	0.1058020706
115	0.9094567404	0.1055502918
116	0.909730953	0.1055024848
117	0.909730953	0.1054286721
118	0.9095022624	0.1052448537
119	0.9095022624	0.1050645609
120	0.909730953	0.1047520922
121	0.909730953	0.1046551035
122	0.9101886792	0.1045522975
123	0.9106918239	0.1043876402
124	0.9106918239	0.1040520225
125	0.9104627767	0.1039502025
126	0.9109657948	0.1038986013
127	0.9114688129	0.1038110073
128	0.9120160885	0.1036055586
129	0.91228952	0.1035490757
130	0.91228952	0.10348282
131	0.9125628141	0.1033438818
132	0.9128359709	0.1032892806
133	0.9125628141	0.10325612
134	0.9125628141	0.103228947
135	0.9128359709	0.103140814
136	0.9126067303	0.1030583875
137	0.9128797389	0.1029923684
138	0.9128797389	0.1029453069
139	0.9128797389	0.102650846
140	0.9131089905	0.1024999134
141	0.9131089905	0.1024873087
142	0.9136546185	0.1024260572
143	0.9131089905	0.1023320277
144	0.9131089905	0.1022331376
145	0.9131089905	0.1021379944
146	0.9128797389	0.1019077225
147	0.9130653266	0.1017821054
148	0.9135678392	0.1016030665
149	0.9138407435	0.1014945398
150	0.9138407435	0.1013859017
151	0.9145728643	0.1012960843
152	0.9145728643	0.101246068
153	0.9145728643	0.1012154882
154	0.9148027142	0.1010726844
155	0.9148455162	0.1009592228
156	0.9145299145	0.1008360789
157	0.9147598692	0.1007802701
158	0.9147598692	0.1006647381
159	0.9150326797	0.1005014713
160	0.9150326797	0.1003284644
161	0.9150326797	0.1002432202
162	0.9153053531	0.09985946071
163	0.9155354449	0.09969435168
164	0.9153053531	0.09961422741
165	0.9157656525	0.09953080415
166	0.9157656525	0.09944880544
167	0.9157656525	0.09935242085
168	0.9157656525	0.09930125309
169	0.9157656525	0.09925048689
170	0.9157656525	0.09923596507
171	0.9162685441	0.09895605345
172	0.9160382102	0.09890141411
173	0.9165409754	0.09852687533
174	0.9165409754	0.09847887317
175	0.9165829146	0.09830386277
176	0.9165829146	0.0982774196
177	0.9165829146	0.09819967103
178	0.9165829146	0.0981131668
179	0.9165829146	0.09805445881
180	0.9163526752	0.09792571823
181	0.9163526752	0.09778982321
182	0.9163526752	0.09775241621
183	0.9163526752	0.09755633917
184	0.9166248117	0.09747311809
185	0.9163526752	0.09741090393
186	0.9163526752	0.09735246084
187	0.9163526752	0.09729808284
188	0.9166248117	0.09713533855
189	0.9171686747	0.09703952402
190	0.9174404015	0.09696532833
191	0.917711992	0.09673134327
192	0.9174404015	0.09670556332
193	0.917711992	0.0966033853
194	0.9174404015	0.09645205432
195	0.9176706827	0.09636941496
196	0.9174404015	0.09632856136
197	0.9176706827	0.09617541025
198	0.9179422836	0.09606248339
199	0.9179422836	0.0959461376
200	0.9182137481	0.09582818867
201	0.9179422836	0.09575509379
202	0.9181726908	0.09550759629
203	0.9181726908	0.0954911681
204	0.9186746988	0.09541078767
205	0.9186746988	0.09535822823
206	0.9184441656	0.0952763907
207	0.9187155043	0.09519239948
208	0.9191767068	0.09514356352
209	0.9191767068	0.09512992491
210	0.9191767068	0.09503259229
211	0.9189053477	0.09497676396
212	0.9197190166	0.09483080499
213	0.9199899674	0.09469479575
214	0.9199899674	0.09465162266
215	0.9199899674	0.09456938207
216	0.9199899674	0.09450219021
217	0.9199899674	0.09446984709
218	0.9202207727	0.09439770323
219	0.9202207727	0.09435314318
220	0.9202207727	0.09429803108
221	0.9202207727	0.09423237202
222	0.9202207727	0.09419069901
223	0.9202207727	0.09416653673
224	0.9202207727	0.09408125755
225	0.9202207727	0.09403874667
226	0.9202207727	0.09396124307
227	0.9202207727	0.09392157652
228	0.9202207727	0.09387408401
229	0.9202207727	0.09380636614
230	0.9204915977	0.09369667046
231	0.9204915977	0.09326778711
232	0.9207225289	0.09321189464
233	0.9204915977	0.09319026902
234	0.9204915977	0.09314823188
235	0.9204915977	0.09308666363
236	0.9204915977	0.09304450767
237	0.9207225289	0.0930093115
238	0.9206827309	0.09295957571
239	0.9207225289	0.09289079807
240	0.920993228	0.09275404325
241	0.9212637914	0.09260003972
242	0.9215342191	0.0925686924
243	0.9215342191	0.0925252811
244	0.9215342191	0.09252323889
245	0.9215342191	0.09244157982
246	0.9213032581	0.09234072849
247	0.9213032581	0.09233280593
248	0.9215342191	0.09222400176
249	0.920993228	0.09213312854
250	0.921224285	0.09206585856
251	0.921224285	0.09204258498
252	0.9217652959	0.09199832927
253	0.9217652959	0.09196453954
254	0.92195734	0.09188340517
255	0.92195734	0.09185394048
256	0.9217260411	0.09183185071
257	0.921455458	0.09179896475
258	0.92195734	0.09168049977
259	0.92195734	0.0916486449
260	0.92195734	0.09163046512
261	0.9222277973	0.09157892306
262	0.9222277973	0.09151767258
263	0.9222277973	0.09144832473
264	0.9227295534	0.09141325905
265	0.9227295534	0.09138338709
266	0.9227295534	0.09137762804
267	0.9227295534	0.09133906608
268	0.9227295534	0.09122768658
269	0.9227295534	0.09110877841
270	0.9224592221	0.09106239532
271	0.9226907631	0.09095715202
272	0.9229611041	0.09093681874
273	0.9229224203	0.09081938601
274	0.9229611041	0.09071817873
275	0.9226907631	0.09066799212
276	0.9231541939	0.09052489084
277	0.9231927711	0.0904819309
278	0.9231927711	0.09043476583
279	0.9231927711	0.09038860422
280	0.9234245544	0.09033791741
281	0.9239648683	0.09027947053
282	0.9239648683	0.09021510509
283	0.9239648683	0.09014870933
284	0.9237330657	0.09009192222
285	0.9239648683	0.0900678796
286	0.9242728185	0.09002926621
287	0.9240030098	0.08998462621
288	0.9242348219	0.08994273746
289	0.9242348219	0.08991712947
290	0.9242348219	0.08986568777
291	0.9242348219	0.08981997081
292	0.9242348219	0.08974900518
293	0.924774323	0.0897262993
294	0.924774323	0.08971060864
295	0.924774323	0.08967983563
296	0.9242728185	0.08960578832
297	0.9245424919	0.08957420608
298	0.9245424919	0.08955357386
299	0.9245424919	0.08951146411
300	0.924774323	0.08942960202
301	0.924774323	0.08938008977
302	0.9250062704	0.08923917108
303	0.9250062704	0.08920294655
304	0.9255452494	0.08910985383
305	0.9255452494	0.08903184569
306	0.9252758275	0.08900121203
307	0.9252758275	0.08895724334
308	0.9252758275	0.08893562327
309	0.926548007	0.08888764371
310	0.9268170426	0.08876915069
311	0.926009531	0.08870223767
312	0.926009531	0.0886978529
313	0.926009531	0.08866806967
314	0.9263157895	0.08853160999
315	0.9260466282	0.0884395133
316	0.9263157895	0.08841781707
317	0.9260466282	0.08840045408
318	0.9262788365	0.08832667299
319	0.926009531	0.08827373099
320	0.926548007	0.08814785446
321	0.9268170426	0.08811600252
322	0.9275870709	0.08804883249
323	0.9278557114	0.08798714369
324	0.9286250939	0.08784634315
325	0.9291614518	0.08780689712
326	0.92889334	0.08775989569
327	0.9291614518	0.08769060319
328	0.9286250939	0.08760053716
329	0.9291614518	0.08747178202
330	0.9293940911	0.08741665747
331	0.9291259704	0.08737424199
332	0.929626847	0.08732261901
333	0.929626847	0.0872618976
334	0.9291259704	0.08719480814
335	0.9293940911	0.08715734145
336	0.9298948423	0.08711227527
337	0.9298948423	0.08709166427
338	0.9298948423	0.08703168746
339	0.9298948423	0.08699555923
340	0.9301627034	0.08697803681
341	0.9296620776	0.08695260235
342	0.9296620776	0.08694040458
343	0.9301976482	0.08683219131
344	0.9299299299	0.08677851946
345	0.9299299299	0.08672000189
346	0.9299299299	0.08667448565
347	0.9301627034	0.08658020956
348	0.9299299299	0.0865192527
349	0.9299299299	0.08647087377
350	0.9306980235	0.08642118909
351	0.9301627034	0.08638526567
352	0.9301627034	0.08635910009
353	0.9304304304	0.08615141692
354	0.9304304304	0.08610657176
355	0.9306980235	0.08601040445
356	0.9309654827	0.0858776714
357	0.9309654827	0.08580704826
358	0.9309654827	0.08573453691
359	0.9309654827	0.08570870192
360	0.9306980235	0.08564226001
361	0.9309654827	0.08555989788
362	0.9312328082	0.08545852054
363	0.9315	0.08540214873
364	0.9315	0.08538320793
365	0.9315	0.0853643222
366	0.9312328082	0.08528893942
367	0.9312328082	0.08526737186
368	0.9317329332	0.0852118998
369	0.9314657329	0.08514224809
370	0.9316987741	0.08504273091
371	0.9316987741	0.0850203634
372	0.9316987741	0.08496882606
373	0.9316987741	0.08491539523
374	0.9316987741	0.08489468264
375	0.9316987741	0.08486428885
376	0.9316987741	0.08476829389
377	0.9322330583	0.08470159546
378	0.9322330583	0.08465367438
379	0.9325	0.08461675635
380	0.9325	0.08460159577
381	0.9325	0.08459221007
382	0.9327668083	0.08456010578
383	0.9325	0.08450601866
384	0.9327668083	0.08447828462
385	0.9327668083	0.08445226551
386	0.9327668083	0.08443599962
387	0.9330334833	0.08438747911
388	0.9330334833	0.08436331975
389	0.9330334833	0.08434562203
390	0.9330334833	0.08428439243
391	0.9327668083	0.08423828357
392	0.9330334833	0.08421430096
393	0.9330334833	0.08421321335
394	0.9327668083	0.08415923313
395	0.9327668083	0.08412154974
396	0.9327668083	0.0840860784
397	0.9327668083	0.08404465021
398	0.9338327091	0.08382672703
399	0.9338327091	0.08382366755
400	0.9338327091	0.08381179507
401	0.9340659341	0.08377092019
402	0.9338327091	0.08366205174
403	0.9343320849	0.0836046043
404	0.9343320849	0.08359568164
