iter	Passed	Remaining
0	169	168963
1	188	94278
2	207	68827
3	225	56107
4	246	48970
5	266	44080
6	287	40739
7	306	38023
8	328	36130
9	350	34684
10	388	34904
11	434	35738
12	462	35122
13	484	34122
14	530	34851
15	551	33907
16	572	33081
17	594	32435
18	617	31880
19	639	31316
20	660	30806
21	683	30370
22	704	29918
23	724	29450
24	745	29079
25	766	28710
26	787	28393
27	808	28068
28	830	27801
29	851	27535
30	871	27252
31	892	26996
32	916	26865
33	937	26632
34	957	26404
35	976	26154
36	997	25965
37	1019	25801
38	1041	25662
39	1062	25504
40	1083	25336
41	1104	25187
42	1124	25032
43	1148	24951
44	1180	25050
45	1210	25107
46	1237	25098
47	1266	25111
48	1298	25192
49	1320	25087
50	1339	24933
51	1363	24861
52	1385	24750
53	1405	24620
54	1424	24479
55	1444	24346
56	1464	24227
57	1484	24109
58	1503	23984
59	1523	23869
60	1544	23774
61	1564	23668
62	1584	23563
63	1604	23463
64	1623	23360
65	1643	23252
66	1662	23146
67	1681	23041
68	1699	22930
69	1717	22818
70	1738	22742
71	1757	22656
72	1783	22644
73	1806	22609
74	1827	22544
75	1846	22450
76	1865	22360
77	1884	22279
78	1904	22199
79	1924	22129
80	1943	22047
81	1963	21976
82	1983	21908
83	2004	21854
84	2024	21793
85	2045	21738
86	2066	21683
87	2086	21623
88	2106	21558
89	2124	21484
90	2145	21428
91	2165	21371
92	2186	21324
93	2207	21275
94	2227	21221
95	2248	21169
96	2268	21117
97	2288	21066
98	2309	21022
99	2330	20978
100	2355	20968
101	2378	20936
102	2399	20896
103	2421	20860
104	2443	20825
105	2464	20782
106	2486	20751
107	2507	20707
108	2527	20662
109	2547	20614
110	2569	20579
111	2593	20564
112	2614	20526
113	2636	20487
114	2671	20557
115	2691	20507
116	2709	20449
117	2728	20394
118	2748	20349
119	2767	20298
120	2787	20247
121	2808	20213
122	2830	20179
123	2850	20135
124	2869	20089
125	2889	20041
126	2908	19995
127	2930	19964
128	2950	19921
129	2969	19871
130	2989	19828
